feature,importance_mean,importance_std,product,horizon_days,model,split,metric
log_price,2.60322144308385e-05,0.000167822229173591,brent,1,random_forest,calibration,increase_in_log_return_mae
log_return_1,-0.0001427016188917208,3.6198128298943255e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
log_return_2,-0.00013976736225574383,7.418480919505898e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
log_return_5,-1.4438617620235807e-05,2.9481369193367245e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
log_return_10,0.00024372629126000918,0.00020047636352446647,brent,1,random_forest,calibration,increase_in_log_return_mae
log_return_20,-3.4963564222125974e-05,3.0495295876074504e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
log_return_60,-8.96693785353321e-06,1.5531295850643274e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
price_to_mean_5,-5.4381379561234744e-05,1.2492282186814995e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
volatility_5,-3.1270279316654784e-05,3.182637770480781e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
momentum_5,4.368169129671112e-06,2.7234792814443467e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
price_to_mean_20,2.2299629923829347e-05,1.4464507259626712e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
volatility_20,1.7243160741663156e-06,6.596054789592732e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
momentum_20,-5.2589519692899237e-05,1.578741628688622e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
price_to_mean_60,-3.878095268106084e-05,1.2633466557106364e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
volatility_60,8.625200950541922e-06,1.5160660767274039e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
momentum_60,2.3710072509796483e-06,8.96111482315415e-06,brent,1,random_forest,calibration,increase_in_log_return_mae
gap_days,9.101289724644523e-07,4.013244280711957e-06,brent,1,random_forest,calibration,increase_in_log_return_mae
weekday_sin,-3.872036103785836e-06,1.7961496262861445e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
weekday_cos,3.344854572878697e-06,5.887141526178563e-06,brent,1,random_forest,calibration,increase_in_log_return_mae
month_sin,1.7817485174969132e-05,4.780655310153496e-06,brent,1,random_forest,calibration,increase_in_log_return_mae
month_cos,1.0971198653846049e-05,1.7250010750045865e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
day_of_year_sin,4.912108717583727e-05,3.579709878858576e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
day_of_year_cos,-2.7902321261527584e-06,3.192204582948068e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
peer_log_price,-2.451248252664795e-05,5.773877349649424e-06,brent,1,random_forest,calibration,increase_in_log_return_mae
peer_log_return_1,-5.99079200979992e-06,3.8490508223526196e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
peer_log_return_5,-2.439988937124535e-05,1.869697216297737e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
peer_age_days,-2.300293511576096e-05,1.3256268217474362e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
relative_momentum_5,2.0189453900521653e-06,1.2387916145227225e-05,brent,1,random_forest,calibration,increase_in_log_return_mae
log_price,-0.0003371634301627804,0.0006168520409116046,brent,7,random_forest,calibration,increase_in_log_return_mae
