product,horizon_days,fold,train_rows,validation_rows,train_start,train_end,last_train_target,validation_start,validation_end
brent,1,1,191,189,2021-12-03,2022-09-06,2022-09-07,2022-09-08,2023-06-12
brent,1,2,380,189,2021-12-03,2023-06-09,2023-06-12,2023-06-13,2024-03-07
brent,1,3,569,189,2021-12-03,2024-03-06,2024-03-07,2024-03-08,2024-12-04
brent,7,1,186,188,2021-12-03,2022-08-30,2022-09-06,2022-09-07,2023-06-08
brent,7,2,374,188,2021-12-03,2023-06-01,2023-06-08,2023-06-09,2024-03-04
brent,7,3,562,188,2021-12-03,2024-02-26,2024-03-04,2024-03-05,2024-11-28
brent,30,1,165,184,2021-12-03,2022-07-29,2022-08-30,2022-08-31,2023-05-25
brent,30,2,350,184,2021-12-03,2023-04-25,2023-05-25,2023-05-26,2024-02-14
brent,30,3,532,184,2021-12-03,2024-01-15,2024-02-14,2024-02-15,2024-11-05
brent,90,1,111,174,2021-12-03,2022-05-13,2022-08-11,2022-08-12,2023-04-21
brent,90,2,285,174,2021-12-03,2023-01-20,2023-04-20,2023-04-24,2023-12-29
brent,90,3,459,174,2021-12-03,2023-09-29,2023-12-28,2024-01-02,2024-09-06
gasoil,1,1,186,187,2021-12-07,2022-09-01,2022-09-02,2022-09-06,2023-06-06
gasoil,1,2,373,187,2021-12-07,2023-06-05,2023-06-06,2023-06-07,2024-03-06
gasoil,1,3,560,187,2021-12-07,2024-03-05,2024-03-06,2024-03-07,2024-12-04
gasoil,7,1,181,186,2021-12-07,2022-08-25,2022-09-01,2022-09-02,2023-06-02
gasoil,7,2,368,186,2021-12-07,2023-05-26,2023-06-02,2023-06-05,2024-03-01
gasoil,7,3,553,186,2021-12-07,2024-02-23,2024-03-01,2024-03-04,2024-11-27
gasoil,30,1,162,182,2021-12-07,2022-07-29,2022-08-29,2022-08-30,2023-05-23
gasoil,30,2,343,182,2021-12-07,2023-04-21,2023-05-22,2023-05-24,2024-02-14
gasoil,30,3,525,182,2021-12-07,2024-01-12,2024-02-12,2024-02-15,2024-11-05
gasoil,90,1,110,172,2021-12-07,2022-05-13,2022-08-11,2022-08-15,2023-04-24
gasoil,90,2,282,172,2021-12-07,2023-01-24,2023-04-24,2023-04-25,2023-12-29
gasoil,90,3,454,172,2021-12-07,2023-09-29,2023-12-28,2024-01-02,2024-09-06
